key,pronoun_per_sentence_mean,pronoun_per_sentence_median,pronoun_per_sentence_std,punct_per_sentence_mean,punct_per_sentence_median,punct_per_sentence_std,stop_per_sentence_mean,stop_per_sentence_median,stop_per_sentence_std,unique_word_pct_mean,unique_word_pct_median,unique_word_pct_std,words_per_sentence_mean,words_per_sentence_median,words_per_sentence_std
Suceava,1.6404477611940298,1.0,2.043367087246258,4.16955223880597,3.0,3.9731447121880077,12.280298507462687,10.0,9.697142211758699,0.5908599337904835,0.5860000740475633,0.09067499556437106,26.23805970149254,22.0,19.091669257590123
Bihor,1.2175966415952422,1,1.467942660558899,4.044079062445339,3,3.2382750132504152,11.343186986181564,10,7.67642665394272,0.5570866752133469,0.5471206599392162,0.09203934121545268,24.775406681826134,22,16.07003009003208
Arad,1.3686826843413422,1,1.7118274186981812,4.624689312344656,3,4.317071203572234,11.608947804473901,10,8.565040568309943,0.6506490709184374,0.6581884057971015,0.092905891274696,26.7920463960232,23,18.55520444425287
Constanta,1.1016244440146974,1.0,1.4853175803765237,3.8654999033069037,3.0,3.651703194113383,10.364242893057435,9.0,7.258700638980544,0.6404791231177376,0.632220986281053,0.11423552819375299,24.26464900406111,21.0,16.41290797569143
Tulcea,1.5286713286713287,1.0,1.7810825017357124,3.737062937062937,3.0,3.0610496467870085,12.594405594405595,11.0,8.1544854551523,0.6581745707017745,0.6541353383458647,0.12036313377105541,26.56013986013986,23.0,16.99667445819275
Alba,1.0917661847894407,1,1.4871336176076935,4.006913890634821,3,4.455868096654686,10.834066624764299,9,7.937697119955951,0.5973487492284967,0.6061946902654868,0.09191836886341655,24.619107479572595,21,18.457098217966678
Bistrita,1.2483130904183535,1,1.5183583681374924,4.205128205128205,3,4.1351690200424915,12.48582995951417,11,8.234346062705768,0.5909713504318714,0.5911949685534591,0.10830500370782116,28.095816464237515,25,18.54833555143959
Harghita,1.3684713375796178,1.0,1.7080437894732334,4.466878980891719,3.0,4.668076821845774,11.839490445859873,10.0,8.535633499090764,0.5541150392063665,0.5517158168856893,0.09615269804146559,26.31433121019108,23.0,18.27814778187767
Cluj,1.1760982159984654,1,1.5260599513777944,3.7226165355841165,3,3.9727371204703035,10.958181469403415,9,8.6265851379002,0.5599213487028996,0.5509433962264151,0.0978898928446046,24.515250335699214,21,18.918373621004005
Hunedoara,1.3862320039715372,1.0,1.5715878016275333,3.1501737547575708,2.0,2.544140110618641,10.964669865960616,10.0,7.177312207733817,0.5670986873354604,0.55,0.1278057307870192,22.836753268244248,20.0,14.532709499305929
Brasov,1.110195674562307,1,1.3604722414268247,3.714727085478888,3,2.924378058056883,10.741503604531411,9,7.062332261871604,0.6344498906772252,0.6315610859728507,0.10093489987702868,23.809474768280122,21,15.16974850325611
Covasna,1.4059680777238028,1,1.6242242956188468,4.01411057136248,3,3.9137160202307237,11.777006708304418,10,8.239659042683307,0.5875698143685394,0.5711206896551724,0.11788782523273729,24.526948878093915,21,16.987249511124638
Ialomita,1.3354325488896255,1,1.517824955476395,3.3347696387139543,3,2.6227809671460878,10.902220749088498,10,7.074586184280586,0.5936192042941548,0.6051136363636364,0.14430095603706736,22.88631090487239,20,14.758356392480882
Teleorman,1.0929927963326784,1.0,1.4072026859781799,3.777668631303209,3.0,7.3471665905426615,11.173788474132285,9.0,8.818246097321476,0.6203431506298334,0.6203892668178382,0.09126937271720893,25.76735428945645,22.0,20.496639119636388
Buzau,1.5676890534108938,1.0,1.882043203927787,3.7347964040190376,3.0,3.035180675469291,11.952934955050239,10.0,8.694193835970626,0.6775467579261598,0.6346802743666334,0.15521992501748016,24.7567424643046,22.0,16.44803527401497
Arges,1.0090415913200723,0.0,1.5000229807623178,3.9779987944544906,3.0,4.036877695525374,8.75135623869801,7.0,7.554860015540198,0.6652316491363632,0.6517532703488372,0.12313208226600564,20.212176009644363,18.0,16.232419693089167
Braila,1.7528556593977154,1,2.166290321241626,4.1526479750778815,3,3.4563831340476003,12.040498442367602,10,9.203447622603267,0.6000676760683684,0.577922077922078,0.08299428641305183,24.624091381100726,21,18.36963048268989
Giurgiu,1.207171314741036,1.0,1.5719491942986075,4.087649402390438,3.0,3.491350560691247,12.022908366533864,10.0,9.314688369980518,0.6794992711234167,0.6878612716763006,0.14038943634221132,27.13645418326693,23.0,19.748627108894123
Calarasi,1.3961772371850565,1,1.5550548666974044,3.938314509122502,3,4.468114696399416,11.189400521285839,10,8.365494823209804,0.6372312786471801,0.6161500191350937,0.11382868814423637,24.552562988705475,22,20.548993602799847
Dambovita,1.2979441546486652,1,1.7595307669208486,3.6044799018103713,3,3.472469844673145,10.034980055231665,9,7.388197305658585,0.6600723707422116,0.6538461538461539,0.12068245721059158,21.787664927891992,19,14.895061632642795
Prahova,1.1883429672447015,1.0,1.4762666257137311,3.4571290944123314,3.0,3.098043425795231,10.1871387283237,9.0,7.592899171244478,0.5838259049176899,0.5736842105263158,0.1102823108039961,22.10019267822736,19.0,16.073727650406592
Timis,1.4166233766233767,1,1.658226463828442,4.046060606060606,3,3.632507103612981,10.27047619047619,9,7.357294771404039,0.6243584044522028,0.6191950464396285,0.10303461023984178,22.202077922077923,19,15.189852930357036
Caras-Severin,1.1728216704288938,1,1.4622787289246129,3.51665914221219,3,3.7804018369217736,10.521715575620767,9,7.672221461765845,0.6186170773384487,0.6064814814814815,0.10286896605373373,22.658961625282167,20,16.60196321731127
