key,pronoun_per_sentence_mean,pronoun_per_sentence_median,pronoun_per_sentence_std,punct_per_sentence_mean,punct_per_sentence_median,punct_per_sentence_std,stop_per_sentence_mean,stop_per_sentence_median,stop_per_sentence_std,unique_word_pct_mean,unique_word_pct_median,unique_word_pct_std,words_per_sentence_mean,words_per_sentence_median,words_per_sentence_std
Bucovina,1.6404477611940298,1.0,2.043367087246258,4.16955223880597,3.0,3.9731447121880077,12.280298507462687,10.0,9.697142211758699,0.5908599337904835,0.5860000740475633,0.09067499556437106,26.23805970149254,22.0,19.091669257590123
Crisana,1.2439341421143848,1.0,1.5143734242223326,4.14529173887926,3.0,3.4577134468566078,11.38951473136915,10.0,7.839232375425427,0.5847190925977518,0.5811333518351488,0.10168764406082484,25.12694974003466,22.0,16.547855304855247
Dobrogea,1.1534998301053347,1.0,1.5306813981226088,3.8498980632008153,3.0,3.5853954178326095,10.635151206252123,9.0,7.409230855592379,0.6432847225792482,0.6359447004608295,0.11540992075964283,24.543493034318722,21.0,16.501970999068472
Ardeal,1.3183680741136647,1,1.5782954772465894,3.63285230714413,3,3.5508016081326748,11.211508996971316,10,7.867281625238603,0.5751707954351941,0.5636363636363636,0.11458416604748822,24.071512560128273,21,16.653909396155974
Muntenia,1.2272229322621873,1.0,1.5805933712290126,3.7207108514393523,3.0,5.222738483515466,10.808228348852778,9.0,8.311237436951501,0.6322339084974987,0.6221906565656565,0.11645286212722362,23.933418538129146,21.0,18.14377214488068
Banat,1.256379821958457,1.0,1.5366238990301406,3.6981008902077153,3.0,3.7388269890322716,10.43560830860534,9.0,7.566702926371215,0.6200626250014313,0.6095937107186229,0.10294086312840094,22.502373887240356,19.0,16.1333765858852
Oltenia,1.1741975760446042,1,1.551229064290374,4.036316276666739,3,4.351194572026266,11.206574387014832,9,9.264179469937128,0.6148286724953423,0.6097560975609756,0.11840986433426158,25.49269153768325,21,21.437388786262467
Moldova,1.2564520170383362,1.0,1.611847063088986,3.90915810573791,3.0,3.717862887846684,11.367852668504135,10.0,8.363641701135844,0.6005211828282392,0.5989491313309776,0.1033600802154649,25.226609872212478,22.0,18.22983403429549
Maramures,1.288367012561442,1,1.6306071825376682,3.4136173311487346,2,3.4291948980156235,9.238849444747862,8,7.315105229842207,0.6149794930814181,0.6202898550724638,0.10900153694906764,19.901328964136173,17,15.447075659245604
