key,avg_pronoun_per_sentence,avg_punct_per_sentence,avg_stop_per_sentence,avg_unique_word_pct,avg_words_per_sentence
Bucovina,1.6404477611940298,4.16955223880597,12.280298507462687,0.5908599337904835,26.23805970149254
Crisana,1.240998838559814,4.148228803716608,11.386759581881533,0.583678546534317,25.144018583042975
Dobrogea,1.1300255124483154,3.877892143925398,10.573590217295681,0.6437159027865114,24.605348816750244
Ardeal,1.331598645517733,3.6244519693459276,11.25303867403315,0.5680094385604002,24.119622170736054
Muntenia,1.247611162854876,3.7831246334816653,10.901617855048467,0.6327802885070095,24.079754389596054
Banat,1.2578738958269875,3.7242765763021626,10.47328662808407,0.6198206442649358,22.537069753274444
Oltenia,1.1985336632976387,4.187015750398964,11.694914078220043,0.6127355125787228,26.73682262876703
Moldova,1.2792483595671098,3.811261456730706,11.210803844990599,0.6109573738353623,24.742330400936265
Maramures,1.290909090909091,3.4080382775119618,9.183923444976077,0.6040736602635075,19.779521531100478
RepMoldova,1.1747789383698874,3.4769721903133597,10.130072396014212,0.6704771041307943,22.23739748350386
