true\pred,Ardeal,Banat,Bucovina,Crisana,Dobrogea,Maramures,Moldova,Muntenia,Oltenia
Ardeal,0.8290155440414507,0.0051813471502590676,0.0,0.04145077720207254,0.04145077720207254,0.025906735751295335,0.03626943005181347,0.015544041450777202,0.0051813471502590676
Banat,0.017777777777777778,0.7733333333333333,0.0044444444444444444,0.017777777777777778,0.04888888888888889,0.044444444444444446,0.057777777777777775,0.035555555555555556,0.0
Bucovina,0.012987012987012988,0.05194805194805195,0.5064935064935064,0.09090909090909091,0.19480519480519481,0.03896103896103896,0.03896103896103896,0.03896103896103896,0.025974025974025976
Crisana,0.01141352063213345,0.0026338893766461808,0.001755926251097454,0.8244073748902546,0.08340649692712906,0.028094820017559263,0.015803336259877086,0.0228270412642669,0.009657594381035996
Dobrogea,0.030716723549488054,0.010238907849829351,0.010238907849829351,0.040955631399317405,0.8088737201365188,0.027303754266211604,0.040955631399317405,0.023890784982935155,0.006825938566552901
Maramures,0.013861386138613862,0.005940594059405941,0.0019801980198019802,0.06732673267326733,0.06336633663366337,0.7900990099009901,0.047524752475247525,0.009900990099009901,0.0
Moldova,0.019417475728155338,0.0048543689320388345,0.0012135922330097086,0.04247572815533981,0.05461165048543689,0.03519417475728155,0.8203883495145631,0.01820388349514563,0.0036407766990291263
Muntenia,0.0,0.03636363636363636,0.0,0.09090909090909091,0.09090909090909091,0.10909090909090909,0.07272727272727272,0.6,0.0
Oltenia,0.011627906976744186,0.011627906976744186,0.0,0.05813953488372093,0.08139534883720931,0.011627906976744186,0.023255813953488372,0.023255813953488372,0.7790697674418605
